name,male,female
2,0,0
5,0,0
50,1,0
a,0,0
a'da,0,1
a.,0,0
a.c.,0,0
a.d.,0,0
a.h.m.a.d.,1,0
a.j.,0,0
aaliyah,0,3
aalok,1,0
aalyrah,0,1
aaron,124,0
aarti,0,1
aasha,0,1
aasif,1,0
abba,1,0
abbey,0,3
abbi,0,2
abbie,0,3
abby,0,14
abdallah,1,0
abdedellah,1,0
abdelhafid,1,0
abdelilah,1,0
abdellah,2,0
abdellatif,1,0
abderrahim,1,0
abdesalam,1,0
abdesslam,1,0
abdi,2,0
abdou,1,0
abdoulaye,1,0
abdul,2,0
abdul-khaliq,1,0
abdullah,2,0
abe,3,0
abed,1,0
abel,1,0
abelatif,0,0
abhi,1,0
abhin,1,0
abi,0,1
abie,1,0
abigail,0,26
abigale,0,1
abike,0,1
abiona,0,1
abner,1,0
abra,0,2
abraham,9,0
abriella,0,1
abu,1,0
abubakar,1,0
abubakr,1,0
ace,6,0
achindam,0,0
adair,1,0
adalena,0,1
adalgiza,0,1
adalia,0,1
adam,230,0
adamo,1,0
adan,1,0
addie,0,1
addison,4,0
addy,0,3
adebayo,1,0
adebukola,1,0
adel,0,0
adela,0,1
adelaide,0,1
adele,0,7
adella,0,1
adelynn,0,1
aden,3,0
adepero,0,1
adetokumboh,1,0
adewale,1,0
adhemar,1,0
adhir,1,0
adi,0,0
adiel,1,0
adina,0,2
adira,0,1
aditi,0,1
adjoa,0,1
adnan,1,0
adolphe,1,0
adolphus,1,0
adom,1,0
adoni,1,0
adria,0,4
adrian,58,0
adriana,0,11
adriane,0,3
adrianna,0,3
adrianne,0,5
adriano,2,0
adrien,4,0
adriene,0,2
adrienne,0,17
adrián,0,0
adryella,0,1
adwin,1,0
adèle,0,0
aedin,2,0
aemilia,0,1
aerica,0,1
aerin,0,1
aeryn,0,1
aesha,0,1
aesop,1,0
afeefa,0,1
afemo,1,0
affion,1,0
afra,0,1
africa,0,1
afrim,1,0
afsheen,0,1
afton,0,2
aga,1,0
agam,0,0
agatha,0,3
agee,1,0
agent,1,0
agnes,0,3
agnesa,0,1
agni,0,1
agnieszka,0,1
agoasi,1,0
agron,1,0
aharon,1,0
ahmad,2,0
ahmed,7,0
ahmir-khalib,1,0
ai,0,5
aida,0,3
aidaa,1,0
aidan,24,0
aideen,0,1
aiden,5,0
aidy,0,1
aifric,0,1
aija,0,1
aileen,0,3
ailish,0,1
ailsa,0,1
aimee,0,16
aimee-ffion,0,1
aimee-lynn,0,1
aimiomode,1,0
aimée,0,0
ainsley,0,1
air,1,0
airon,1,0
airrese,0,1
aisha,0,4
aisling,0,1
aislinn,0,3
aislyn,0,1
ait,2,0
aixa,0,1
aizoun,1,0
aj,3,0
aja,0,4
ajarae,0,1
ajay,6,0
ajaz,1,0
ajema,1,0
ajgie,1,0
ajiona,0,1
ajla,0,1
ajna,0,1
akaash,1,0
akane,0,1
akash,1,0
akbar,2,0
akeem,2,0
akemi,0,1
aki,0,0
akie,0,1
akihiro,2,0
akiko,0,1
akili,1,0
akim,1,0
akin,2,0
akio,1,0
akira,4,0
akis,1,0
akiva,1,0
ako,1,0
akos,1,0
akram,1,0
aksana,0,1
aksel,1,0
akshay,1,0
al,54,0
al-jaleel,1,0
alabama,0,1
aladeen,1,0
aladár,0,0
alain,6,0
alaina,0,2
alan,97,0
alana,0,12
alanis,0,1
alanna,0,7
alano,1,0
alaska,0,2
alastair,7,0
alaya,0,1
alban,1,0
albania,0,1
albert,26,0
alberta,0,2
alberto,10,0
albie,0,0
aldemar,1,0
alden,3,0
aldis,1,0
aldo,2,0
aldrich,1,0
aldrin,1,0
alea,0,1
alec,18,0
aled,1,0
aleene,0,1
aleesa,0,1
alejandra,0,4
alejandro,16,0
alejo,1,0
alek,2,0
aleks,3,0
aleksa,0,2
aleksandar,3,0
aleksander,4,0
aleksandr,1,0
aleksandra,0,5
alen,2,0
alena,0,2
alessandra,0,2
alessandro,5,0
alessia,0,1
alet,0,1
aleta,0,1
alex,199,0
alexa,0,17
alexander,68,0
alexandra,0,66
alexandre,8,0
alexandria,0,3
alexei,3,0
alexi,0,1
alexia,0,5
alexie,0,1
alexis,40,0
alexyz,1,0
alf,1,0
alfie,4,0
alfonso,4,0
alfre,0,1
alfred,9,0
alfredo,4,0
algae,1,0
algerita,0,1
alhaji,1,0
ali,42,0
alia,0,1
alica,0,1
alice,0,36
alicia,0,28
alicia-lee,0,1
alida,0,1
alie,0,1
alijah,1,0
alik,1,0
alim,1,0
alimasi,1,0
alin,0,2
alina,0,5
aline,0,2
alireza,1,0
alisa,0,11
alisdair,2,0
alisen,0,1
alisha,0,8
alison,0,42
alissa,0,3
alissah,0,1
alistair,9,0
alister,1,0
alix,0,5
alixandra,0,1
alixandrée,0,0
alixzandra,0,1
aliyah,0,1
aliz,0,1
aliza,0,1
alkan,1,0
alki,1,0
alkoya,1,0
alla,0,3
allan,32,0
alle,0,1
allee,0,2
allegra,0,2
allel,1,0
allen,28,0
allene,0,1
alli,0,2
allicia,0,1
allie,0,10
allin,1,0
allishia,0,1
allison,0,39
allon,1,0
allura,0,1
ally,0,8
allyce,0,1
allyn,2,0
allysa,0,1
allysin,0,1
allyson,0,8
allyssa,0,1
alma,0,5
almeera,0,1
almodarr,1,0
aloe,0,1
alok,1,0
aloma,0,1
alon,4,0
alona,0,1
alonso,1,0
alonzo,2,0
alpha,0,1
alphonse,1,0
alphonso,2,0
altair,0,0
alton,5,0
altorro,0,0
alun,2,0
alva,0,0
alvaro,4,0
alveraz,1,0
alvin,6,0
aly,0,4
alyce,0,1
alycen,0,1
alycia,0,3
alyona,0,1
alysha,0,2
alyshia,0,1
alysia,0,2
alyson,0,6
alyssa,0,18
alyssa-jane,0,1
alyssia,0,1
alysson,0,1
alyvia,0,1
alyx,0,1
alyxx,0,1
alyy,1,0
am,1,0
amad,1,0
amadeo,1,0
amadeus,1,0
amahaad,1,0
amaka,0,1
amal,0,1
aman,1,0
amanda,0,106
amandine,0,1
amandla,0,1
amani,0,1
amar,3,0
amar'e,1,0
amaris,0,1
amaury,1,0
amaurys,1,0
amayla,0,1
amazon,0,1
amber,0,53
ambre,0,1
ambria,0,1
ambrit,0,1
ambrose,1,0
ambrosia,0,1
ambyr,0,1
ameenah,0,1
ameer,1,0
amelia,0,18
amelie,0,2
amen,1,0
america,0,2
american,1,0
americo,2,0
americus,0,1
amerjit,1,0
ames,1,0
ami,0,3
amie,0,6
amiel,1,0
amila,0,1
amin,1,0
amina,0,1
amine,2,0
amir,8,0
amira,0,2
amirah,0,1
amit,3,0
amita,0,1
